id,type_desc,seat,weight,traveltime,km,ts1,lat1,lon1,ts2,lat2,lon2
1630,BUS,26,0,0:25:22,17.88757207,02-11-18 5:16,15.017282,100.945656,02-11-18 5:41,14.876922,100.90857
1630,BUS,26,0,1:29:29,61.23902819,02-11-18 19:38,14.827672,100.90871,02-11-18 21:08,15.194567,101.146835
1636,BUS,49,0,1:47:05,76.23077231,02-11-18 6:05,14.826772,100.90808,02-11-18 7:52,15.236908,101.0936
1636,BUS,49,0,1:42:21,67.03073476,02-11-18 15:11,15.258977,101.03542,02-11-18 16:53,14.826402,100.90832
1637,BUS,41,0,1:17:19,63.3925962,02-11-18 7:46,14.827713,100.90899,02-11-18 9:04,15.255515,100.99428
1637,BUS,41,0,1:42:35,65.50008694,02-11-18 16:57,15.255049,101.003075,02-11-18 18:39,14.826935,100.909424
1638,BUS,46,14450,2:54:07,103.1934361,02-11-18 6:31,14.827873,100.908676,02-11-18 9:25,15.292876,101.401344
1638,BUS,46,14450,0:11:58,5.341003174,02-11-18 14:00,15.292474,101.40143,02-11-18 14:12,15.244714,101.4
1638,BUS,46,14450,2:01:58,93.02887406,02-11-18 14:45,15.22179,101.40262,02-11-18 16:47,14.826408,100.9082
1638,BUS,46,14450,0:30:01,0.413441678,02-11-18 18:11,14.82628,100.90898,02-11-18 18:41,14.82586,100.9128
3561,BUS,10,3300,0:17:26,10.40520633,02-11-18 9:04,13.3942,101.022517,02-11-18 9:22,13.403783,101.037567
3561,BUS,10,3300,2:12:03,81.28369077,02-11-18 17:53,13.427617,101.109317,02-11-18 20:05,13.44385,101.080517
3561,BUS,10,3300,0:38:13,18.77748291,02-11-18 20:42,13.436317,101.05855,02-11-18 21:21,13.409467,101.051217
3562,BUS,13,3300,0:31:21,14.51852916,02-11-18 5:31,13.310817,100.95315,02-11-18 6:02,13.344767,100.976733
3562,BUS,13,3300,1:23:02,24.86584767,02-11-18 6:18,13.384333,101.017117,02-11-18 7:41,13.41665,101.07145
3562,BUS,13,3300,0:40:10,19.67768258,02-11-18 10:08,13.428967,101.0381,02-11-18 10:48,13.29315,100.943533
3562,BUS,13,3300,0:43:55,20.42746793,02-11-18 16:07,13.334767,100.9687,02-11-18 16:51,13.428033,101.109117
3562,BUS,13,3300,1:42:20,28.36282949,02-11-18 17:47,13.4423,101.080167,02-11-18 19:29,13.30065,100.948333
3708,BUS,42,14300,0:56:23,37.86024809,02-11-18 6:18,14.591533,100.546267,02-11-18 7:14,14.31675,100.644433
3708,BUS,42,14300,0:46:09,31.78617712,02-11-18 18:20,14.328,100.625583,02-11-18 19:07,14.555933,100.539417
3709,BUS,40,15100,2:40:30,122.6616088,02-11-18 6:18,14.3253,100.4044,02-11-18 8:58,14.68915,101.181133
3709,BUS,40,15100,1:10:04,69.86228001,02-11-18 11:41,14.68955,101.18085,02-11-18 12:51,14.290783,100.81995
3709,BUS,40,15100,0:58:28,48.49420647,02-11-18 13:37,14.285817,100.816517,02-11-18 14:35,14.332267,100.546533
3709,BUS,40,15100,0:13:59,8.34559797,02-11-18 14:53,14.336533,100.556367,02-11-18 15:07,14.342467,100.6115
3709,BUS,40,15100,0:54:10,28.61271153,02-11-18 18:13,14.317133,100.640383,02-11-18 19:07,14.321367,100.403183
3710,BUS,45,0,1:02:02,40.87092567,02-11-18 6:08,14.586567,100.455083,02-11-18 7:10,14.317933,100.6409
3710,BUS,45,0,1:15:24,49.28253392,02-11-18 18:13,14.317417,100.64045,02-11-18 19:29,14.560533,100.47125
3711,BUS,40,0,1:05:38,46.01084427,02-11-18 4:59,14.58705,100.7309,02-11-18 6:04,14.32775,100.636533
3711,BUS,40,0,1:10:17,43.45838346,02-11-18 7:56,14.347133,100.612883,02-11-18 9:06,14.585783,100.730617
3711,BUS,40,0,0:52:58,27.22979707,02-11-18 16:51,14.578117,100.7283,02-11-18 17:44,14.474267,100.61195
3711,BUS,40,0,0:28:59,15.48606655,02-11-18 17:58,14.460917,100.596067,02-11-18 18:27,14.334583,100.619167
3711,BUS,40,0,1:11:08,46.08516893,02-11-18 19:38,14.328633,100.624983,02-11-18 20:49,14.575683,100.727667
3712,BUS,41,14200,1:13:07,25.66816238,02-11-18 6:05,14.287117,100.666933,02-11-18 7:18,14.285383,100.667967
3712,BUS,41,14200,0:46:10,18.00268455,02-11-18 18:21,14.3132,100.640833,02-11-18 19:07,14.28505,100.667917
5540,BUS,43,15500,0:34:45,10.39676156,02-11-18 6:51,13.706683,100.736,02-11-18 7:26,13.68575,100.70135
5540,BUS,43,15500,0:35:55,9.359421438,02-11-18 17:17,13.686717,100.700817,02-11-18 17:53,13.709083,100.737233
5545,BUS,44,15500,1:07:10,28.26170853,02-11-18 6:37,13.764233,100.804017,02-11-18 7:44,13.695467,100.703417
5545,BUS,44,15500,0:44:49,13.25734572,02-11-18 18:05,13.718433,100.702917,02-11-18 18:50,13.70995,100.8229
5545,BUS,44,15500,0:38:02,11.63375377,02-11-18 19:07,13.716417,100.817583,02-11-18 19:45,13.789233,100.826617
5553,BUS,44,0,1:48:37,41.12054825,02-11-18 5:47,13.8029,100.879333,02-11-18 7:36,13.685917,100.705617
5553,BUS,44,0,0:12:37,3.726869476,02-11-18 17:48,13.722183,100.719217,02-11-18 18:01,13.714217,100.751517
5553,BUS,44,0,0:38:00,18.36647223,02-11-18 19:07,13.75575,100.797883,02-11-18 19:45,13.81615,100.8712
5563,BUS,41,15100,1:29:34,68.54372663,02-11-18 5:18,13.808383,101.3152,02-11-18 6:47,13.78875,100.951467
5563,BUS,41,15100,1:23:51,64.83037744,02-11-18 7:49,13.780333,100.963,02-11-18 9:13,13.812517,101.312533
5563,BUS,41,15100,1:48:32,68.39290055,02-11-18 17:15,13.815267,101.30675,02-11-18 19:04,13.7901,100.954317
5563,BUS,41,15100,1:21:46,67.47160214,02-11-18 19:48,13.788883,100.9533,02-11-18 21:09,13.812583,101.312533
